director_writer_star_url,time_window,time_window_num,work_num_time_window,total_work_num,total_work_num_no_overlap,group,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth,domain
celebrity/1000010/,"[(2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",5,"[1, 1, 1, 1, 1]",5,1420,cn,0.0,0.0,0.0,0.0,1.4210854715202004e-14,Action
celebrity/1000188/,"[(2013, 2018), (2014, 2019), (2015, 2020)]",3,"[1, 1, 1]",3,1397,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1000525/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[5, 4, 7, 7, 7, 7]",37,5675,cn,0.050027172681348,0.1203211231088416,0.1990974600318407,0.0851114802162366,1.2539995561782575,Action
celebrity/1000572/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[1, 1, 1, 2, 1, 1]",7,2857,cn,0.1835660129252265,0.4589150323130662,0.6424810452382927,0.0917830064626132,14.88565809807612,Action
celebrity/1000905/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[3, 2, 2, 2, 2, 1]",12,5664,cn,0.1764917342287189,0.2178102445009515,0.4815077464266954,0.0931498339157395,5.746567582381232,Action
celebrity/1002862/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2015, 2020)]",5,"[3, 2, 2, 2, 1]",10,5691,cn,0.215622588902318,0.3396836097032771,0.7691896812876523,0.2198198572758466,12.034455463060295,Action
celebrity/1003376/,"[(2010, 2015), (2011, 2016), (2012, 2017)]",3,"[1, 1, 1]",3,1421,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1003495/,"[(2010, 2015), (2011, 2016), (2012, 2017)]",3,"[1, 1, 1]",3,1423,cn,0.0,0.0,0.0,0.0,2.8421709430404014e-14,Action
celebrity/1004593/,"[(2013, 2018), (2014, 2019), (2015, 2020)]",3,"[1, 1, 1]",3,1408,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1004643/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[1, 1, 2, 2, 3, 3]",12,4269,cn,0.0511116331405277,0.2230950262707378,0.2900056830815654,0.1659580263175726,3.40149660498912,Action
celebrity/1005110/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[1, 1, 1, 1, 1, 1]",6,2836,cn,0.25295046064101,0.2828072124665917,0.8484216373997752,0.169684327479955,8.637830684343555,Action
celebrity/1005149/,"[(2013, 2018), (2014, 2019), (2015, 2020)]",3,"[2, 2, 2]",6,1440,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1005319/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[2, 2, 2, 2, 2, 2]",12,1406,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1005924/,"[(2013, 2018), (2014, 2019), (2015, 2020)]",3,"[1, 1, 1]",3,1397,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1006103/,"[(2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",4,"[1, 1, 1, 1]",4,1415,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1006977/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[1, 1, 1, 1, 1, 1]",6,1403,cn,0.0,0.0,0.0,0.0,0.0,Action
celebrity/1007401/,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]",6,"[2, 2, 3, 4, 4, 4]",19,7077,cn,0.043650276358271,0.248034964641395,0.3060730129999546,0.1874703236694157,6.1775540611469495,Action
