domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
.NET Framework-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
.NET Framework-2,us,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75
1-Naphthol-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
1-Naphthol-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
1-Propanol-2,cn,0.1626618728331136,0.8793389022488205,0.0557301855851803,0.9542946068362156,0.0755709239067852,0.9503900969151023
1-Propanol-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
16-bit-2,cn,0.3872983346207417,0.1936491673103708,0.3938927711338648,0.1969463855669324,0.3938927711338648,0.1969463855669324
16-bit-2,us,0.4,0.8,0.4,0.8,0.4,0.8
2-Aminopyridine-2,cn,0.3694098295623861,0.6890467971746908,0.376888832444014,0.7336539867291965,0.3832897769501326,0.690445975065035
2-Deoxy-D-glucose-2,us,0.5,0.5,0.5,0.5,0.5,0.5
2-Naphthol-2,cn,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75
2-Norbornyl cation-2,cn,0.5,0.5,0.5,0.5,0.5,0.5
2-Norbornyl cation-2,us,0.4,0.8,0.4,0.8,0.4,0.8
2-Pyridone-2,cn,0.4999999999999999,0.5,0.5,0.5,0.5,0.5
2-Pyridone-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
2-Pyrrolidone-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
2-Pyrrolidone-2,us,0.4,0.2,0.4,0.2,0.4,0.2
21st century skills-2,cn,0.5,0.5,0.5,0.5,0.5,0.5
3-Triazole-2,cn,0.4130943639024282,0.4837955096119852,0.4307424237224418,0.4902001205995888,0.4510946989854092,0.4549829660319636
3-Triazole-2,us,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
3-manifold-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
32-bit-2,cn,0.5,0.5,0.5,0.5,0.5,0.5
32-bit-2,us,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
3D modeling-2,cn,0.4472994495570359,0.4956182887467514,0.4472994495570359,0.4956182887467514,0.4473948579780074,0.4936329177569044
3D modeling-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
3D optical data storage-2,cn,0.3986644641036212,0.3218276704533299,0.4174619817722152,0.3350508193944798,0.3780251690209145,0.2749838978152285
3D optical data storage-2,us,0.4,0.8,0.4,0.8,0.4,0.8
3D printing-2,cn,0.4305000882566376,0.5268384882643002,0.453741654541321,0.555538099860933,0.3807558569996498,0.4277968049890395
3D printing-2,us,0.4245560605436063,0.3466485091436834,0.4717576967901983,0.3851815778937004,0.4268484770125266,0.3402420386851383
3D reconstruction-2,cn,0.3999999999999999,0.1999999999999999,0.4000000000000001,0.2,0.4000000000000001,0.2
3D reconstruction-2,us,0.4770271070419296,0.5829982843991257,0.4883813329842257,0.5981278839161545,0.4883813329842256,0.5981278839161545
3d model-2,cn,0.4898979485566355,0.4,0.4898979485566355,0.3999999999999999,0.4898979485566355,0.3999999999999999
