inventors_id,time_window,patent_id,time_window_num,patent_num_time_window,total_patent_num,total_patent_num_no_overlap,group,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth,domain
fl:an_ln:kovacs-6,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9039280], [9039280, 9354125], [9039280, 9354125], [9039280, 9354125], [9039280, 9354125], [9039280, 9354125]]",6,"[1, 2, 2, 2, 2, 2]",11,2,us,0.5810667872428894,0.6496524214744568,1.9489572048187256,0.3897914290428161,0.0671962896982876,G01-1
fl:an_ln:krayev-1,"[(2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9568495], [9568495, '9989556'], [9568495, '9989556'], [9568495, '9989556']]",4,"[1, 2, 2, 2]",7,2,us,0.3519105017185211,0.6095267534255981,1.2190536260604858,0.4063511788845062,0.0481903553009033,G01-1
fl:an_ln:kretschmar-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8910531], [8910531], [8910531, 9778144], [8910531, 9778144], [8910531, 9778144], [9778144]]",6,"[1, 1, 2, 2, 2, 1]",9,2,us,1.9314651489257808,2.653071403503418,5.571450233459473,0.7959214448928833,0.9653123219807896,G01-1
fl:an_ln:krishnakumar-2,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[7660591, 9053624], [9053624, 9507015], [9053624, 9507015], [9053624, 9507015], [9053624, 9507015], [9053624, 9507015]]",6,"[2, 2, 2, 2, 2, 2]",12,3,us,1.6191298961639404,1.810242176055908,5.430726528167725,1.086145281791687,0.5488286415735928,G01-1
fl:an_ln:krull-2,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019)]","[[7942038, 8158428, 8490474, 8720257, 8899049, 8915089], [7942038, 8158428, 8490474, 8720257, 8899049, 8915089], [8158428, 8490474, 8720257, 8899049, 8915089], [8490474, 8720257, 8899049, 8915089], [8720257, 8899049, 8915089]]",5,"[6, 6, 5, 4, 3]",24,6,us,0.2708224952220917,0.9264904260635376,1.442482829093933,0.6597299575805664,0.0914064049720764,G01-1
fl:an_ln:kueny-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8125633], [8125633, 9383323], [8125633, 9383323, 9772226], [9383323, 9772226], [9383323, 9772226], [9383323, 9772226]]",6,"[1, 2, 3, 2, 2, 2]",12,3,us,1.526672601699829,2.8512887954711914,5.781366348266602,0.5970946550369263,0.9854582945505824,G01-1
fl:an_ln:kulkarni-4,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8033722, 8092080, 8132467, 8662746, 8961007, 9071888], [8033722, 8092080, 8132467, 8662746, 8961007, 9071888, 9350319, 9354190], [8092080, 8132467, 8662746, 8961007, 9071888, 9350319, 9354190], [10101577, 10119863, 8662746, 8961007, 9071888, 9350319, 9354190, '9857227'], [10101577, 10119863, 10189045, 8662746, 8961007, 9071888, 9350319, 9354190, '9857227'], [10101577, 10119863, 10189045, 8961007, 9071888, 9350319, 9354190, '9857227']]",6,"[6, 8, 7, 8, 9, 8]",46,12,us,0.3273173868656158,1.830205321311951,2.4021108150482178,1.5216606855392456,0.3362492720285956,G01-1
fl:an_ln:kumar-27,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[7744737, 9096014], [9096014], [9096014], [9096014], [9096014], [9096014]]",6,"[2, 1, 1, 1, 1, 1]",7,2,us,1.668260931968689,1.8651723861694336,5.595517158508301,1.1191034317016602,0.5439033110936435,G01-1
fl:an_ln:kumar-46,"[(2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9319844], [9319844, 9699618], [9319844, 9699618], [9319844, 9699618], [9319844, 9699618]]",5,"[1, 2, 2, 2, 2]",9,2,us,0.0,5.653193397847645e-07,5.653193397847645e-07,5.653193397847645e-07,5.960464477539063e-06,G01-1
fl:an_ln:kung-4,"[(2010, 2015), (2011, 2016)]","[[7732658, 7892767], [7892767]]",2,"[2, 1]",3,2,us,0.0,2.909974336624145,2.909974336624145,2.909974336624145,1.244780421257019,G01-1
