domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
A01-1,cn,0.1119035363160952,0.8803937839570122,0.1538669874831592,0.8827566661158835,0.090812946555228,0.932212719079944
A01-1,us,0.0224430620555595,0.8758330638171591,0.0107155190877828,0.9544003367110442,0.2408359231465623,0.8127047354491479
A1-1,cn,0.1374842735955526,0.864648307457989,0.1472098220367301,0.859382803899333,0.1410996931887415,0.8589300092185818
A1-1,us,0.0247706009512842,0.8536808475138391,0.0136337550160286,0.9392888359105742,0.1797476577236362,0.7147031710353848
A21-1,us,0.0283681368863591,0.9835066900285776,0.0056819865302917,0.9967195035472042,0.0362774975160308,0.9784024214121432
A22-1,us,0.1386402803083549,0.8748221825300488,0.0083246021466697,0.9918550280810048,0.1694649043167181,0.8946598082729972
A23-1,cn,0.2011928476664016,0.7988071523335984,0.0235401924690518,0.976459807530948,0.0235401924690518,0.976459807530948
A23-1,us,0.0645629830479641,0.8619711026748172,0.0486510945860894,0.9211724086020509,0.1218002776548922,0.8660170554283773
A24-1,cn,0.095291516145232,0.9088123999013108,0.0247624549012944,0.9652398842772564,0.2305044869528213,0.8385417283892073
A24-1,us,0.0188015954884636,0.8867969189813509,0.0213497359775079,0.9413228271195064,0.0140628362808511,0.9467888189357694
A41-1,us,0.0881463858308106,0.8386967521586989,0.1053031337878564,0.8406978141638255,0.0812802743917659,0.8437975720466341
A42-1,us,0.0432287409812077,0.971456704663413,0.038904690534862,0.973968785550798,0.038904690534862,0.973968785550798
A43-1,cn,0.0,1.0,0.0,0.9999999999999998,0.0,0.9999999999999998
A43-1,us,0.0267821060751123,0.8909229493997171,0.0476972292645962,0.9221546927439008,0.0355006504910382,0.9336782456676452
A44-1,us,0.1368168563429936,0.8010092801337573,0.1887903040865274,0.8328008560847234,0.1859034673226747,0.8007791941928154
A45-1,us,0.1229655401175506,0.8145644087353657,0.0291873073865063,0.9341746000200248,0.0664323967523939,0.8910642644656724
A46-1,cn,0.0269600763465871,0.9809363471940212,0.0269600763465871,0.9809363471940212,0.0269600763465871,0.9809363471940212
A46-1,us,0.0224126634714642,0.944236143279972,0.036934332130112,0.9415939026494464,0.0381474597521237,0.9452689995033138
A47-1,cn,0.1337930905785202,0.8556165729882845,0.0723139432467577,0.927750218403151,0.0924850768082155,0.8938483659542282
A47-1,us,0.0351667591062631,0.875464533921912,0.0225547246468689,0.9330037616990154,0.3187944769977778,0.7279321542581997
A61-1,cn,0.0444715145086576,0.8338332026110548,0.026429040787954,0.9325188313433536,0.0823366254203806,0.8606465935374426
A61-1,us,0.0,0.8722791433050061,0.0,0.944778234673137,0.0,0.9430180787227336
A62-1,cn,0.0657061461788505,0.8595667324753902,0.0348467353704188,0.9402077500724846,0.0701127473338334,0.8828566659492436
A62-1,us,0.0202864374145435,0.9103085534663452,0.0350453752480137,0.945205733618954,0.0135227073890631,0.936443432762558
A63-1,us,0.0234605908554607,0.9113417060168872,0.0067719301462286,0.9560078830213684,0.0588484242699973,0.92633888353284
B01-1,cn,0.0979613014804116,0.8697108232031379,0.0450821152637241,0.9600144414037216,0.1779574321783024,0.8628376475139085
B01-1,us,0.0338930481049152,0.8926818017353269,0.0202858398802553,0.9473886497919956,0.0345820281882785,0.9087279430188232
B02-1,us,0.0392300602920548,0.9634081803781852,0.0284687982005851,0.9730552125781974,0.0697067483790089,0.9448494287828236
B03-1,us,0.1468112644418899,0.9152384769544052,0.0180973714237,0.989551477736902,0.0180973714237,0.989551477736902
B04-1,us,0.1717345210254674,0.8700059949242016,0.0602912901081464,0.9122648544702718,0.0599845168467295,0.9031069002859828
B05-1,cn,0.0560529437498054,0.9235924215866244,0.0580404217169521,0.9296404166105616,0.0441024806396489,0.950874491013719
B05-1,us,0.0884833044361513,0.8431991168258574,0.0175624502291616,0.9515776642436642,0.179272394967983,0.8239210907138711
B06-1,us,0.1054902849590806,0.9068316119137656,0.1371615873283544,0.9054875558327512,0.137216024709094,0.9056488395887344
B08-1,cn,0.1164190559240825,0.9123020719706888,0.0673114149543353,0.956215361912164,0.0673114149543353,0.956215361912164
B08-1,us,0.0234869949087772,0.947389430004122,0.0145811100916269,0.9871268182789332,0.080149559289106,0.9324155726081764
B1-1,cn,0.0369055689101711,0.8857341162122703,0.0275423232020722,0.964875753022178,0.3364349683909606,0.6932317509962868
B1-1,us,0.0214887507911689,0.8502521315939495,0.0151572714974909,0.9254447258115148,0.0508444641550639,0.8939053339999576
B2-1,us,0.0243416158366215,0.9823337625084924,0.0070006680104355,0.9943698371909064,0.0759281629160768,0.9215670252882612
B21-1,cn,0.1845546333602268,0.815445366639773,0.1751725701843476,0.8248274298156524,0.1734475424822772,0.8265524575177228
B21-1,us,0.0186687191869314,0.8222683357522014,0.0451147177064126,0.8843028600735625,0.1371598411148269,0.8364211262838035
B22-1,cn,0.0797020258300533,0.8013597140682487,0.0632700564618698,0.8673183367102544,0.0462467808394668,0.8701254050574231
B22-1,us,0.0352029472903395,0.8190317680108091,0.0098349580175348,0.863567029916532,0.3166821009650785,0.655121290398092
B23-1,cn,0.0424928842832329,0.9116724532187614,0.0381730116297545,0.9455978866960488,0.0540116949764136,0.9419398743583276
B23-1,us,0.0207673018862305,0.8680409227969761,0.0254535742332536,0.934090258282201,0.1013674895985551,0.8465585441230387
B24-1,cn,0.0,0.9020400020954816,0.0,0.9648998336044048,0.0,0.8822928247876466
B24-1,us,0.0135586251045847,0.9035916324474216,0.0193701664141584,0.953897647810752,0.0145248981362189,0.96340299315803
B25-1,cn,0.0644531973385917,0.914212796291487,0.0407015004113257,0.9428452099244556,0.1943404540508063,0.8279188841053713
B25-1,us,0.0146638652067814,0.8705586031078788,0.0006012077718175,0.9053531571684592,0.0227662575051381,0.8957213873464365
