domain,group,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth,work_num
Action,cn,0.0637085850560265,0.7571660140514812,0.9817758935152834,0.6027472060087231,28.913925387635786,629
Action,us,0.0475059229142438,0.8358165786055902,1.0253393233341783,0.7133232576971493,35.05156332168889,3787
Adventure,cn,0.0540677066130213,0.7853691922754236,0.9685424639074418,0.6665359378499747,31.140564838784652,202
Adventure,us,0.0459627921046389,0.8455861979418415,1.007996209382353,0.7196469431031386,35.874223788409026,2016
Animation,cn,0.0484792850244955,0.7924788929923243,0.9386943815811504,0.681727361749878,31.62924299743773,286
Animation,us,0.0591304785752219,0.84388699112324,1.009788357443218,0.7117370605234089,35.8343954823348,685
Biography,cn,0.0642184903739457,0.7929326331129583,1.003867090935943,0.6671752088745457,31.933613862340053,110
Biography,us,0.0481705756585385,0.8601564460847879,1.0179515928515364,0.741684259857806,37.13092547309682,1731
Comedy,cn,0.0625624220845842,0.7606583698364712,1.0150196255696948,0.6328450143294354,29.166609577885907,714
Comedy,us,0.0492660090307354,0.8385492170381917,1.0318235495371857,0.6721788507563565,35.282989924529744,10395
Crime,cn,0.0647110976333657,0.717013614822075,0.954411318910991,0.5595168528794024,25.985996295381295,365
Crime,us,0.052804577750147,0.8163046093527943,1.071908164096199,0.6791308362396086,33.46826591239815,2991
Documentary,cn,0.051608330336924,0.8151310952465042,1.0019393587132344,0.67287264419956,33.47910186321377,270
Documentary,us,0.0396736406288667,0.8734483287406473,1.0154672382503465,0.7462652938413318,38.22782279763239,10846
Drama,cn,0.0670485795706585,0.7694118584568944,1.0628599959643037,0.6165342550439945,29.836473445861543,2493
Drama,us,0.0463148820525155,0.8366720925150204,1.056990357967752,0.6947861631270389,35.11065965756643,14645
Family,cn,0.0782134137372381,0.7554853851961372,1.0580853279027174,0.6226873552997573,28.92479632035827,357
Family,us,0.0421663723842424,0.8490320838617716,1.0305519552690916,0.7425896522530339,36.15330909262244,1671
Fantasy,cn,0.0618691542640321,0.7636807138295079,1.0316647083345514,0.6216578959166007,29.43448194468742,356
Fantasy,us,0.0475949734502444,0.8388623082194636,0.9967730622261024,0.714575345964995,35.32650601735426,1229
History,cn,0.069089408918954,0.7646965096995718,1.031620624670359,0.6283118814749155,29.517305872958616,727
Horror,us,0.050408943721376,0.8104691261360715,1.0311888590852762,0.6714272214753654,32.9752489503997,6358
Music,cn,0.0477393267240629,0.800787142480323,0.9513120436943104,0.6834607750346141,32.551104552709205,87
Music,us,0.0474931863422843,0.8479492736903339,0.996176079210348,0.7272690118091333,36.08523416023438,1674
Musical,us,0.0473034563981544,0.8390079512871472,0.9723093431013696,0.6958312486900023,35.4075008337452,358
Mystery,cn,0.0659156126046929,0.7442494315380679,1.036004426796045,0.6080210870621403,27.98238501927776,401
Mystery,us,0.0549541054798392,0.8156796717957243,1.0346128856916217,0.6825535965216679,33.43480061189467,1951
Reality-TV,cn,0.0598404704237736,0.7734516294825879,1.0011063146796797,0.6633023800810125,30.265358959940627,173
Romance,cn,0.0639061946015062,0.7346289719400952,1.0059581810031075,0.5959501597968873,27.2107672988348,1205
Romance,us,0.0544028947763369,0.8163595174460494,1.014154780944351,0.6551267725640068,33.48038055278859,3265
Sci-Fi,cn,0.0479695258779041,0.7754248247668034,0.93621630496672,0.6589726079899368,30.45112116820296,112
Sci-Fi,us,0.0454226003955424,0.8292677132423371,1.0152186373676348,0.7101174044383621,34.50717059743609,1746
Short,us,0.0372696609944696,0.8532399611543372,0.9105224804801484,0.7911301167933867,40.522636407982034,10
Sport,cn,0.0657096113507694,0.7635608884417788,0.9149586622926544,0.6516991609746788,30.120152029014196,40
Sport,us,0.0497667751877608,0.8382273770480098,0.9775373042460476,0.7124703647002483,35.29767115318286,829
Thriller,cn,0.064634715926843,0.7398863278271285,1.004977342205292,0.598720997023551,27.738978950158923,175
Thriller,us,0.0464263596490079,0.8185195918881714,1.0127517795785876,0.6949316967930375,33.61272768497396,5385
War,cn,0.0640510928242485,0.7601101052642555,0.943706313365055,0.6240045053602146,29.235414575266333,206
War,us,0.0551553201194795,0.8275732680015379,1.0005684326477775,0.7140751103963008,34.49205848957891,359
Western,cn,0.1037862998788729,0.7115570396279368,0.9326581078419254,0.6098027863275196,30.16329086430241,7
Western,us,0.0529810659934752,0.8072540544206454,0.9798797849032276,0.6866736237858626,32.82461506658278,324
