domain,group,authors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
.NET Framework-2,cn,CN,19.0,1.6383622,7.177266,11.752749,4.9892216,6.012153677773057
.NET Framework-2,us,US,18.0,1.1108212,7.336241,9.469514,5.25717,6.063493696692717
1-Naphthol-2,cn,CN,76.0,0.6658061,7.7413416,9.580675,6.3839555,6.481805908987781
1-Naphthol-2,us,US,40.0,0.99704623,8.575997,10.882123,5.6313143,8.00331136737114
1-Propanol-2,cn,CN,138.0,1.3742806,7.504771,10.801546,4.657197,6.181352059310868
1-Propanol-2,us,US,57.0,0.9697491,8.569708,10.805265,6.6194897,7.961377944652142
16-bit-2,cn,CN,35.0,0.86577845,7.385526,9.65543,5.9136243,5.938534456140857
16-bit-2,us,US,81.0,0.7659584,8.414652,10.020507,6.6017857,7.556255855310113
2-Aminopyridine-2,cn,CN,88.0,0.8714518,7.784802,9.926853,5.5112157,6.558411768784112
2-Deoxy-D-glucose-2,us,US,26.0,0.98055345,8.484209,10.427829,6.8006434,7.9164918569418035
2-Naphthol-2,cn,CN,65.0,0.91999394,7.5897827,9.940394,5.7056804,6.284852782707844
2-Norbornyl cation-2,cn,CN,4.0,0.23979136,6.9404035,7.1688175,6.6091247,7.533293962478638
2-Norbornyl cation-2,us,US,55.0,0.87155825,8.661096,11.461763,7.175663,8.077485481398156
2-Pyridone-2,cn,CN,33.0,1.4271814,6.9213405,10.230545,4.850202,5.47342460242011
2-Pyridone-2,us,US,61.0,1.0992618,7.82438,10.666131,5.4670277,6.700646128159406
2-Pyrrolidone-2,cn,CN,76.0,0.8741147,8.199787,10.022678,6.504299,7.2361820549295714
2-Pyrrolidone-2,us,US,30.0,1.1683328,8.573443,12.0887375,7.109366,8.164959227901775
21st century skills-2,cn,CN,6.0,0.6918248,6.9816914,8.29999,6.299332,6.135040720303849
3-Triazole-2,cn,CN,144.0,1.046195,6.9393935,10.26589,4.8769693,5.268928580095505
3-Triazole-2,us,US,55.0,1.0719653,6.9459743,9.386463,4.9742746,5.355000866754025
3-manifold-2,us,US,46.0,0.6783684,7.4919534,8.941882,6.36581,6.073975165685013
32-bit-2,cn,CN,36.0,1.33849,7.2828836,11.432939,5.093713,5.879391777136959
32-bit-2,us,US,56.0,0.71055716,8.017293,9.518506,6.6454115,6.870977421859649
3D modeling-2,cn,CN,346.0,1.178862,7.6109266,11.063681,5.011793,6.232495532853605
3D modeling-2,us,US,86.0,0.8984823,8.187851,10.780606,6.569278,7.181791944497107
3D optical data storage-2,cn,CN,236.0,1.0702584,8.268713,12.381643,5.95546,7.282548106025871
3D optical data storage-2,us,US,484.0,0.97037005,8.738725,12.06965,6.55217,8.063692881951923
3D printing-2,cn,CN,1553.0,0.9912407,7.668996,11.455611,4.435565,6.335758548550373
3D printing-2,us,US,2375.0,0.99274486,7.790385,11.410833,4.613901,6.529570485880456
3D reconstruction-2,cn,CN,813.0,1.2803458,7.3831267,11.928963,4.1441054,5.9115800123936
3D reconstruction-2,us,US,385.0,0.9951121,8.200369,11.826173,6.005424,7.200472267898576
3d model-2,cn,CN,444.0,1.1176796,7.982606,11.1696415,5.6496854,6.850628728086747
3d model-2,us,US,260.0,0.9472788,8.474282,11.090496,6.156761,7.676523492361113
3d printed-2,cn,CN,639.0,1.1272594,8.1462965,12.217028,4.9782634,7.153801362704414
3d printed-2,us,US,1346.0,1.052527,8.176301,11.955531,5.132055,7.194342002257884
