domain,group,inventors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
A01-1,cn,CN,364.0,0.7561399340629578,9.228188514709473,11.364148139953612,7.427989959716797,6.329158857684476
A01-1,us,US,18628.0,0.7383376955986023,9.40207576751709,11.871597290039062,7.135991096496582,6.586155034915421
A1-1,cn,CN,876.0,0.6800445318222046,9.139988899230955,11.539531707763672,7.4182209968566895,6.236615333149658
A1-1,us,US,21170.0,0.7450011372566223,9.327834129333496,12.601706504821776,7.130084037780762,6.495655694061881
A21-1,us,US,956.0,0.8219789266586304,8.617534637451172,11.704097747802734,6.4327263832092285,5.60841704271337
A22-1,cn,CN,11.0,0.5814347863197327,7.478091239929199,8.766189575195312,6.527644157409668,4.6420713988217415
A22-1,us,US,592.0,0.8352500796318054,8.275908470153809,10.91108512878418,6.3560004234313965,5.195288172125174
A23-1,cn,CN,428.0,0.8046794533729553,8.466080665588379,12.022835731506348,6.73457670211792,5.378837133995134
A23-1,us,US,6834.0,0.7905104756355286,8.744161605834961,11.944978713989258,6.2911481857299805,5.713584501347938
A24-1,cn,CN,282.0,1.4013882875442505,6.7469682693481445,11.094388008117676,4.73996639251709,3.547981931263564
A24-1,us,US,1941.0,1.0397281646728516,7.966482639312744,11.993614196777344,5.651582717895508,4.77772737104722
A41-1,cn,CN,93.0,0.7584673762321472,8.592101097106934,10.725542068481444,7.220407009124756,5.511378002618173
A41-1,us,US,3248.0,0.8647200465202332,8.387499809265137,11.946771621704102,6.020324230194092,5.215924761118259
A42-1,cn,CN,28.0,0.7775701880455017,7.470604419708252,9.516623497009276,5.827930450439453,4.307543829319968
A42-1,us,US,1132.0,1.036168336868286,8.056626319885254,12.017905235290527,5.672926902770996,4.853109412670719
A43-1,cn,CN,47.0,1.0154186487197876,8.057626724243164,11.056927680969238,6.2531843185424805,4.986496929985634
A43-1,us,US,3425.0,1.0907933712005615,7.615103721618652,12.523431777954102,5.490498065948486,4.370462972658345
A44-1,cn,CN,92.0,1.1760270595550537,7.493910312652588,10.739935874938965,5.223598480224609,4.264614880939334
A44-1,us,US,1422.0,0.9907302856445312,8.215463638305664,12.181070327758787,5.845503330230713,5.0307113011241
A45-1,cn,CN,209.0,0.7535687685012817,8.298975944519043,10.585142135620115,6.713802814483643,5.146274626128886
A45-1,us,US,4065.0,0.8278118968009949,8.47684097290039,11.894695281982422,6.157910346984863,5.352017220085429
A46-1,cn,CN,78.0,0.888445258140564,7.359326362609863,9.948814392089844,5.56505823135376,4.176727383882266
A46-1,us,US,1295.0,0.923481583595276,7.7253217697143555,12.27885627746582,5.609089374542236,4.513895314597832
A47-1,cn,CN,1440.0,0.8109924793243408,8.58751106262207,11.75027847290039,6.478680610656738,5.554146868952032
A47-1,us,US,20232.0,0.7229774594306946,8.833916664123535,13.155472755432127,6.220283508300781,5.8475379767014175
A61-1,cn,,,,,,,
A61-1,us,,,,,,,
A62-1,cn,CN,146.0,0.9090930819511414,8.544236183166504,10.73231029510498,6.433769702911377,5.481299253133983
A62-1,us,US,3406.0,0.7649976015090942,8.873893737792969,11.567468643188477,6.707489013671875,5.861793391434077
A63-1,us,US,23887.0,0.7469999194145203,8.971687316894531,11.960946083068848,6.668447494506836,5.958930937592655
B01-1,cn,CN,878.0,0.729229211807251,8.703895568847656,11.317861557006836,6.7911529541015625,5.683229001763323
B01-1,us,US,19121.0,0.6935164928436279,8.899127960205078,11.774340629577637,6.664897441864014,5.91019571515406
B02-1,cn,CN,27.0,1.0988386869430542,7.822446346282959,10.83763313293457,6.376378536224365,4.850941259636826
B02-1,us,US,765.0,0.8856549859046936,8.21312427520752,11.755237579345703,6.165430545806885,5.122267764578098
B03-1,cn,CN,31.0,0.6853757500648499,7.87308406829834,9.351568222045898,6.364794731140137,4.86948852897973
B03-1,us,US,676.0,0.8413025736808777,8.456021308898926,11.69109058380127,6.07082462310791,5.403522300558237
B04-1,cn,CN,14.0,0.8255482912063599,7.535587787628174,9.231403350830078,6.063830852508545,4.641869107445515
B04-1,us,US,335.0,0.977362871170044,7.855350494384766,11.353036880493164,5.824761867523193,4.690368705497306
B05-1,cn,CN,351.0,0.8068063259124756,8.455541610717773,11.340006828308104,6.738150596618652,5.343362293837274
B05-1,us,US,6901.0,0.7630511522293091,8.716405868530273,11.56984519958496,6.419049263000488,5.65546285840675
B06-1,cn,CN,30.0,1.0649832487106323,7.533776760101318,9.495946884155272,5.739681243896484,4.435414966495557
B06-1,us,US,286.0,1.0706573724746704,8.340584754943848,11.8575439453125,6.399142265319824,5.254854680848055
B07-1,cn,CN,18.0,0.9685665369033812,7.527504920959473,9.914457321166992,6.031437397003174,4.565900291492724
B08-1,cn,CN,51.0,1.0038506984710691,7.243387699127197,9.659470558166504,5.709181308746338,4.1190298211340775
B08-1,us,US,1863.0,0.8549374938011169,8.322710990905762,11.738369941711426,6.114128112792969,5.251265304891604
B09-1,cn,CN,14.0,0.5643051862716675,7.805767059326172,8.571941375732422,6.402309417724609,4.967687876669913
B09-1,us,US,227.0,0.8647173643112183,8.28109073638916,10.806585311889648,6.421828746795654,5.209389450020183
B1-1,cn,CN,2169.0,0.7016095519065857,8.67064380645752,11.324180603027344,6.753819942474365,5.618668912773671
B1-1,us,US,25426.0,0.6899521350860596,8.844487190246582,12.154745101928713,6.597016334533691,5.83228001221687
B2-1,us,US,776.0,0.9043055176734924,8.184467315673828,12.051501274108888,6.033671855926514,5.08801289456288
B21-1,cn,CN,349.0,0.9664053916931152,8.018903732299805,11.163222312927246,5.667984962463379,4.87846865716574
B21-1,us,US,4181.0,0.8446673154830933,8.62077808380127,12.14393424987793,6.367935657501221,5.578564806567982
B22-1,cn,CN,427.0,0.73667973279953,8.322845458984375,10.523096084594728,6.414766788482666,5.1947798519925925
B22-1,us,US,4630.0,0.8802180886268616,8.44606876373291,12.07455062866211,6.164926528930664,5.355695342516015
