group,network,gini_degree centrality,average closeness centrality,average shortest path length,global efficiency
us,2019_H04W72-3_us,0.4727607114610301,0.149477324,7.024432624,0.170759721
us,2023_F21V-2_us,0.4480503063724493,0.113727272,9.1731755,0.13008016
us,2023_A61P35-3_us,0.3903353638413271,0.119620088,8.683982898,0.13416355
cn,2019_G02F1-3_cn,0.4161448065131322,0.150665258,6.876673839,0.168701585
cn,2023_H4L1-3_cn,0.4311089597562925,0.178293015,5.757677332999999,0.199065187
cn,2019_H04B7-3_cn,0.38084519314551263,0.154341999,6.624555165,0.174834997
cn,2023_H1L51-3_cn,0.4120190023134497,0.176559122,5.850720541,0.193498932
cn,2023_H2J-2_cn,0.40985410449912346,0.110047453,9.433156846000001,0.14007461
us,2019_H02-1_us,0.4150093183208775,0.084584174,12.33273052,0.096025484
us,2019_H04B7-3_us,0.4425389506901805,0.14132435,7.353667129,0.156435118
us,2023_B1J-2_us,0.42958484581989503,0.120749434,8.621524662,0.134720874
us,2023_G6T7-3_us,0.40249661599558895,0.093852477,11.03773379,0.104762923
us,2023_H4W28-3_us,0.4566855247044242,0.12224236,8.689106388999999,0.148002405
us,2023_G9-1_us,0.4722044132864024,0.117158974,8.950436856,0.132959192
cn,2023_G2F-2_cn,0.4607760720566007,0.196086062,5.252447528,0.210347229
cn,2023_H1M-2_cn,0.3738538866844019,0.161689129,6.45829723,0.182873758
us,2023_H4W24-3_us,0.4845902189434461,0.126236985,8.366708053,0.147166153
cn,2023_H4L5-3_cn,0.4452492346370693,0.200536812,5.1062969,0.218290942
us,2023_H4W72-3_us,0.5407328307827084,0.17238242199999998,6.061926501,0.191380946
us,2023_H1M-2_us,0.4205559461001617,0.12471166,8.235885787,0.134890539
cn,2023_G2F1-3_cn,0.4608006377716508,0.196075655,5.252776475,0.210339082
cn,2019_H02-1_cn,0.3958999450038875,0.116521395,8.985202442,0.14518274
us,2023_G9G3-3_us,0.5099560770366476,0.187551215,5.675251195,0.221692407
us,2023_H1L27-3_us,0.4757015622094398,0.148768428,6.988128218,0.16328717199999998
cn,2023_H4W7212-4_cn,0.3802777704618681,0.181808104,5.624073422,0.20269682
cn,2023_B1J-2_cn,0.36959013554390746,0.152041909,6.805537427999999,0.172061016
us,2023_H4J-2_us,0.4326627162653667,0.102418107,10.29000223,0.12234406
cn,2023_H1L29-3_cn,0.4066521930233152,0.146399364,7.143007626,0.164634209
cn,2023_F21-1_cn,0.4202666979651451,0.149311153,6.941998474,0.17154369
cn,2023_H4W724-4_cn,0.4416412699512944,0.212749528,4.802450054,0.23071962
cn,2023_H4L50-4_cn,0.43026878517453937,0.203033915,5.034000061,0.222550109
us,2019_H01L27-3_us,0.4652000946833415,0.141047765,7.415432354,0.158485763
